starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 21 16:24:48 2022	1647854688	0	1608	1609	1608
Mon Mar 21 16:25:08 2022	1647854708	0	1609	1609	1609
Mon Mar 21 16:24:56 2022	1647854696	0	1610	1610	1609
Mon Mar 21 16:24:52 2022	1647854692	0	1611	1611	1610
Mon Mar 21 16:24:57 2022	1647854697	0	1611	1611	1610
Mon Mar 21 16:25:08 2022	1647854708	0	1611	1611	1610
Mon Mar 21 16:24:57 2022	1647854697	0	1612	1612	1611
Mon Mar 21 16:24:55 2022	1647854695	0	1613	1613	1612
Mon Mar 21 16:24:57 2022	1647854697	0	1614	1614	1614
Mon Mar 21 16:24:56 2022	1647854696	0	1615	1615	1614
Mon Mar 21 16:24:52 2022	1647854692	0	1615	1615	1614
Mon Mar 21 16:24:56 2022	1647854696	0	1615	1615	1615
Mon Mar 21 16:24:49 2022	1647854689	0	1615	1616	1615
Mon Mar 21 16:24:49 2022	1647854689	0	1616	1616	1615
Mon Mar 21 16:24:51 2022	1647854691	0	1617	1617	1616
Mon Mar 21 16:24:46 2022	1647854686	0	1617	1617	1617
Mon Mar 21 16:24:52 2022	1647854692	0	1617	1617	1617
Mon Mar 21 16:24:48 2022	1647854688	0	1618	1618	1618
Mon Mar 21 16:24:59 2022	1647854699	0	1618	1619	1618
Mon Mar 21 16:24:57 2022	1647854697	0	1620	1620	1620
Mon Mar 21 16:24:48 2022	1647854688	0	1620	1621	1620
Mon Mar 21 16:25:00 2022	1647854700	0	1621	1621	1620
Mon Mar 21 16:25:00 2022	1647854700	0	1621	1621	1621
Mon Mar 21 16:24:45 2022	1647854685	0	1623	1623	1622
Mon Mar 21 16:24:45 2022	1647854685	0	1624	1624	1623
Mon Mar 21 16:24:52 2022	1647854692	0	1624	1624	1624
Mon Mar 21 16:24:52 2022	1647854692	0	1625	1625	1624
Mon Mar 21 16:24:59 2022	1647854699	0	1625	1625	1624
Mon Mar 21 16:24:52 2022	1647854692	0	1625	1626	1625
Mon Mar 21 16:25:08 2022	1647854708	0	1626	1626	1625
Mon Mar 21 16:24:56 2022	1647854696	0	1626	1626	1626
Mon Mar 21 16:24:54 2022	1647854694	0	1626	1626	1626
Mon Mar 21 16:24:52 2022	1647854692	0	1626	1627	1626
Mon Mar 21 16:24:55 2022	1647854695	0	1628	1628	1627
