starttime	seconds	ctime	dtime	ttime	wait
Tue Mar 22 14:20:40 2022	1647933640	0	4175	4175	4175
Tue Mar 22 14:20:32 2022	1647933632	0	4175	4176	4175
Tue Mar 22 14:20:30 2022	1647933630	0	4179	4179	4178
Tue Mar 22 14:20:40 2022	1647933640	0	4179	4179	4178
Tue Mar 22 14:20:40 2022	1647933640	0	4188	4188	4188
Tue Mar 22 14:20:42 2022	1647933642	0	4190	4190	4189
Tue Mar 22 14:20:42 2022	1647933642	0	4190	4190	4190
Tue Mar 22 14:20:40 2022	1647933640	0	4194	4194	4193
Tue Mar 22 14:20:32 2022	1647933632	0	4194	4194	4194
Tue Mar 22 14:20:32 2022	1647933632	0	4199	4199	4198
Tue Mar 22 14:20:40 2022	1647933640	0	4203	4203	4202
Tue Mar 22 14:20:32 2022	1647933632	0	4204	4204	4203
Tue Mar 22 14:20:41 2022	1647933641	0	4206	4207	4206
Tue Mar 22 14:20:32 2022	1647933632	0	4207	4208	4207
Tue Mar 22 14:20:41 2022	1647933641	0	4214	4215	4214
Tue Mar 22 14:20:40 2022	1647933640	0	4217	4217	4217
Tue Mar 22 14:20:39 2022	1647933639	0	4222	4222	4222
Tue Mar 22 14:20:40 2022	1647933640	0	4225	4225	4225
Tue Mar 22 14:20:32 2022	1647933632	0	4226	4226	4226
Tue Mar 22 14:20:41 2022	1647933641	0	4232	4232	4232
Tue Mar 22 14:20:40 2022	1647933640	0	4234	4234	4233
Tue Mar 22 14:20:40 2022	1647933640	0	4239	4239	4238
Tue Mar 22 14:20:39 2022	1647933639	0	4248	4248	4248
Tue Mar 22 14:20:39 2022	1647933639	0	4250	4250	4249
Tue Mar 22 14:20:32 2022	1647933632	0	4252	4252	4251
Tue Mar 22 14:20:40 2022	1647933640	0	4260	4260	4259
Tue Mar 22 14:20:40 2022	1647933640	0	4260	4261	4260
Tue Mar 22 14:20:40 2022	1647933640	0	4261	4261	4260
Tue Mar 22 14:20:41 2022	1647933641	0	4278	4278	4277
Tue Mar 22 14:20:41 2022	1647933641	0	4278	4278	4278
Tue Mar 22 14:20:40 2022	1647933640	0	4288	4288	4288
Tue Mar 22 14:20:40 2022	1647933640	0	4289	4289	4289
Tue Mar 22 14:20:39 2022	1647933639	0	4295	4295	4294
Tue Mar 22 14:20:41 2022	1647933641	0	4295	4295	4294
Tue Mar 22 14:20:40 2022	1647933640	0	4315	4315	4314
Tue Mar 22 14:20:40 2022	1647933640	0	4332	4332	4331
Tue Mar 22 14:20:40 2022	1647933640	0	4336	4336	4336
Tue Mar 22 14:20:40 2022	1647933640	0	4338	4338	4337
Tue Mar 22 14:20:39 2022	1647933639	0	4362	4363	4362
Tue Mar 22 14:20:39 2022	1647933639	0	4372	4372	4371
Tue Mar 22 14:20:39 2022	1647933639	0	4422	4422	4422
